iter	Passed	Remaining
254	481	1406
255	482	1402
256	483	1398
257	485	1396
258	487	1393
259	488	1389
260	489	1385
261	490	1382
262	492	1379
263	493	1375
264	494	1371
265	495	1367
266	497	1365
267	498	1361
268	499	1357
269	500	1353
270	501	1349
271	503	1348
272	505	1345
273	506	1341
274	507	1338
275	508	1335
276	510	1331
277	512	1330
278	513	1328
279	516	1328
280	518	1326
281	520	1324
282	521	1322
283	523	1320
284	525	1318
285	526	1315
286	529	1314
287	531	1313
288	532	1311
289	534	1308
290	536	1306
291	537	1303
292	538	1300
293	540	1299
294	542	1296
295	543	1293
296	545	1291
297	547	1289
298	548	1286
299	550	1283
300	551	1280
301	552	1277
302	554	1276
303	556	1274
304	558	1272
305	560	1271
306	562	1269
307	563	1267
308	565	1264
309	566	1261
310	568	1258
311	569	1255
312	570	1251
313	571	1249
314	573	1246
315	574	1243
316	575	1240
317	576	1236
318	578	1234
319	579	1232
320	581	1229
321	582	1226
322	584	1224
323	585	1222
324	587	1219
325	588	1216
326	589	1213
327	590	1210
328	592	1208
329	593	1205
330	595	1202
331	596	1200
332	598	1199
333	600	1196
334	601	1193
335	602	1191
336	604	1189
337	606	1186
338	607	1183
339	608	1181
340	610	1179
341	611	1176
342	612	1173
343	614	1171
344	615	1169
345	617	1166
346	618	1164
347	619	1161
348	621	1158
349	622	1156
350	623	1153
351	625	1150
352	626	1147
353	627	1145
354	629	1143
355	630	1141
356	632	1138
357	633	1135
358	634	1132
359	635	1130
360	637	1127
361	638	1125
362	640	1124
363	641	1121
364	643	1119
365	644	1116
366	646	1114
367	647	1112
368	649	1109
369	650	1107
370	651	1104
371	653	1102
372	654	1100
373	656	1098
374	657	1095
375	658	1093
376	660	1090
377	661	1088
378	663	1086
379	664	1084
380	666	1082
381	667	1080
382	669	1077
383	670	1075
384	671	1073
385	672	1070
386	674	1067
387	675	1064
388	676	1062
389	677	1060
390	679	1057
391	680	1055
392	681	1052
393	682	1049
394	684	1048
395	686	1046
396	687	1044
397	688	1041
398	691	1040
399	692	1038
400	693	1036
401	694	1033
402	696	1031
403	697	1029
404	699	1027
405	700	1024
406	702	1022
407	703	1021
408	705	1019
409	706	1016
410	707	1014
411	709	1013
412	711	1010
413	712	1008
414	713	1006
415	715	1004
416	717	1002
417	718	1000
418	719	997
419	720	995
420	722	993
421	724	991
422	725	989
423	726	987
424	728	986
425	730	983
426	731	981
427	732	979
428	735	978
429	736	976
430	737	974
431	739	972
432	741	970
433	742	968
434	743	966
435	745	964
436	746	962
437	748	960
438	749	958
439	751	956
440	752	953
441	753	951
442	755	949
443	756	947
444	757	944
445	758	942
446	760	940
447	761	937
448	762	935
449	763	933
450	765	931
451	766	929
452	767	927
453	769	925
454	771	924
455	773	922
456	774	920
457	778	920
458	779	919
459	781	917
460	782	915
