iter	Passed	Remaining
852	1418	244
853	1419	242
854	1420	240
855	1422	239
856	1423	237
857	1424	235
858	1426	234
859	1427	232
860	1428	230
861	1430	228
862	1431	227
863	1432	225
864	1434	223
865	1435	222
866	1437	220
867	1438	218
868	1439	217
869	1441	215
870	1442	213
871	1443	211
872	1444	210
873	1446	208
874	1447	206
875	1448	205
876	1449	203
877	1451	201
878	1452	199
879	1453	198
880	1455	196
881	1457	194
882	1458	193
883	1459	191
884	1461	189
885	1462	188
886	1463	186
887	1465	184
888	1467	183
889	1468	181
890	1469	179
891	1470	178
892	1472	176
893	1473	174
894	1474	173
895	1475	171
896	1477	169
897	1478	167
898	1479	166
899	1481	164
900	1482	162
901	1483	161
902	1484	159
903	1486	157
904	1487	156
905	1488	154
906	1490	152
907	1491	151
908	1492	149
909	1494	147
910	1495	146
911	1496	144
912	1497	142
913	1499	141
914	1500	139
915	1501	137
916	1503	136
917	1504	134
918	1505	132
919	1506	131
920	1508	129
921	1509	127
922	1510	126
923	1511	124
924	1512	122
925	1514	121
926	1515	119
927	1517	117
928	1518	116
929	1519	114
930	1521	112
931	1522	111
932	1523	109
933	1524	107
934	1525	106
935	1527	104
936	1528	102
937	1529	101
938	1530	99
939	1532	97
940	1533	96
941	1534	94
942	1535	92
943	1537	91
944	1539	89
945	1541	88
946	1543	86
947	1545	84
948	1546	83
949	1548	81
950	1549	79
951	1551	78
952	1553	76
953	1555	74
954	1556	73
955	1558	71
956	1559	70
957	1561	68
958	1562	66
959	1563	65
960	1565	63
961	1566	61
962	1567	60
963	1569	58
964	1570	56
965	1572	55
966	1573	53
967	1574	52
968	1576	50
969	1577	48
970	1578	47
971	1579	45
972	1581	43
973	1582	42
974	1583	40
975	1585	38
976	1586	37
977	1587	35
978	1589	34
979	1590	32
980	1591	30
981	1593	29
982	1594	27
983	1595	25
984	1596	24
985	1598	22
986	1599	21
987	1600	19
988	1602	17
989	1603	16
990	1605	14
991	1606	12
992	1607	11
993	1609	9
994	1610	8
995	1611	6
996	1613	4
997	1615	3
998	1616	1
999	1618	0
